0,0,0,123.559998,4.520000
0,0,1,121.641998,4.886000
0,0,2,120.646271,5.209438
0,0,3,119.650269,5.531996
0,0,4,118.653999,5.853729
0,0,5,117.657494,6.174689
0,0,6,116.660767,6.494933
0,0,7,115.663826,6.814514
0,0,8,114.666702,7.133486
0,0,9,113.669395,7.451905
0,0,10,112.671944,7.769824
0,0,11,111.674339,8.087296
0,0,12,110.676620,8.404380
0,0,13,109.678795,8.721126
0,0,14,108.680878,9.037589
0,0,15,107.682892,9.353826
0,0,16,106.684845,9.669888
0,0,17,105.686768,9.985831
0,0,18,104.688667,10.301710
0,0,19,103.690559,10.617579
0,0,20,102.692467,10.933492
0,0,21,101.694405,11.249502
0,0,22,100.696396,11.565666
0,0,23,99.698441,11.882037
0,0,24,98.700569,12.198669
0,0,25,97.702797,12.515617
0,0,26,96.705139,12.832936
0,0,27,95.707619,13.150680
0,0,28,94.710236,13.468902
0,0,29,93.713028,13.787657
0,0,30,92.716003,14.107000
0,0,31,91.564507,14.477023
0,0,32,90.413033,14.847563
0,0,33,89.261230,15.217445
0,0,34,88.108749,15.585500
0,0,35,86.955238,15.950555
0,0,36,85.800346,16.311438
0,0,37,84.643715,16.666977
0,0,38,83.485001,17.016001
0,0,39,81.080002,18.080000
1,0,0,55.639999,100.040001
1,0,1,54.554482,100.658981
1,0,2,53.420853,101.140854
1,0,3,52.252499,101.521500
1,0,4,51.062817,101.836815
1,0,5,49.865185,102.122688
1,0,6,48.673000,102.415001
1,0,7,47.634315,102.684723
1,0,8,46.595821,102.955154
1,0,9,45.557495,103.226219
1,0,10,44.519318,103.497864
1,0,11,43.481277,103.770027
1,0,12,42.443359,104.042625
1,0,13,41.405537,104.315613
1,0,14,40.367798,104.588905
1,0,15,39.330128,104.862457
1,0,16,38.292503,105.136192
1,0,17,37.254913,105.410049
1,0,18,36.217339,105.683960
1,0,19,35.179756,105.957855
1,0,20,34.142159,106.231682
1,0,21,33.104519,106.505371
1,0,22,32.066830,106.778847
1,0,23,31.029064,107.052063
1,0,24,29.991211,107.324936
1,0,25,28.953251,107.597412
1,0,26,27.915167,107.869415
1,0,27,26.876942,108.140900
